	Value
4915	1
4145	2
342	0
297	0
3339	1
6463	1
5545	0
5209	2
191	2
4177	-1
3086	0
699	1
3973	1
2814	0
4884	1
2002	-1
1441	2
5664	2
3471	0
4237	2
6745	2
5933	2
16	2
3348	2
638	0
4194	2
857	0
797	-1
3292	2
3839	1
2080	0
2262	-2
4929	0
1705	2
5916	0
6431	-1
5756	-1
4304	1
629	1
3215	0
4542	-1
2894	1
689	-1
584	0
31	0
20	1
2891	1
2173	0
3998	0
1983	2
1407	1
7411	1
2101	1
7344	0
2048	1
6134	2
3295	1
3789	0
4199	1
814	-1
3769	1
3391	1
6967	0
364	0
5833	0
180	0
59	0
3890	0
578	0
2770	0
6976	0
5434	2
2399	0
4046	-1
6524	0
1465	1
5643	-1
6015	0
5452	1
6191	-1
5475	0
673	0
4553	1
4277	1
3362	-1
1489	2
3212	0
140	0
3134	-1
1356	1
5874	1
6922	2
703	0
4578	2
6963	0
5818	0
5194	0
2802	0
5783	-1
6779	-1
6903	-1
6682	1
5625	0
4756	0
4939	0
67	2
3554	2
1382	2
1531	1
7139	0
5617	2
6475	1
6404	0
5938	-1
5159	-2
2593	0
357	0
6918	0
1642	2
6095	0
6033	0
1104	2
2994	1
2555	1
4138	-1
270	0
7154	1
4317	1
2540	-1
6264	0
2713	2
5687	1
6418	0
6318	1
3543	0
1591	1
4734	0
5897	2
898	0
5551	2
1452	0
648	1
1774	2
7259	0
4523	-1
4305	0
1759	2
6272	0
5077	0
4453	1
7358	-1
5843	0
5375	2
6504	1
174	2
5602	2
7146	0
2117	0
3656	0
4311	1
2910	1
3465	0
4721	0
5811	-1
2918	0
741	0
2634	2
4589	0
3488	0
5418	2
1791	1
2289	2
3671	0
5303	1
4895	1
1030	0
4134	1
397	0
6322	1
6256	0
4691	0
346	0
1565	0
5104	0
7222	1
1867	2
524	0
3402	-1
1542	1
2093	1
6462	1
2275	2
4436	0
7165	1
6998	1
6675	0
3375	1
480	2
4899	-1
4285	-1
7288	1
2147	0
2427	1
313	-1
2010	1
280	0
5354	0
687	2
2935	1
4834	2
3895	0
6801	1
4367	2
7179	0
4927	2
4621	-1
3955	0
3861	2
1156	0
6548	-1
3641	-1
3871	0
3577	2
3582	2
455	0
2062	-1
3520	0
2908	1
5378	2
7006	1
5531	2
6900	-1
1412	2
1676	2
7306	2
1799	0
737	0
1414	0
6719	1
834	1
6986	1
1831	0
6540	0
1828	0
7202	-1
6882	-1
4658	1
1020	0
4248	0
5072	-1
1444	1
904	1
5957	0
4836	2
4094	-1
1958	1
1881	1
2363	0
5409	1
918	0
1760	1
3943	0
5002	0
803	0
5201	1
466	0
6451	1
5040	0
99	1
5751	0
2983	1
5114	2
7252	-1
4792	0
69	0
6960	0
3679	0
3949	2
254	0
7268	1
471	0
6597	-1
1411	0
4483	2
828	0
4276	0
3441	0
7055	0
4333	0
4121	0
4233	1
4805	1
989	1
6249	0
1189	0
6628	2
1393	0
6800	0
4909	0
4465	2
5837	-1
7050	0
4674	2
6965	0
5667	1
7384	0
1479	2
4762	2
5653	2
134	0
1051	2
5977	0
5577	-1
2685	1
7245	2
1371	1
2883	1
965	1
1889	2
2495	1
3472	0
4467	2
5599	1
6204	0
2812	-1
1521	1
6103	0
4787	1
203	0
30	0
5990	1
4746	-1
6680	1
1442	1
3310	0
1779	0
4814	1
4049	1
1264	0
6686	1
3824	-1
4188	2
1290	0
3360	-1
1852	0
5498	1
5270	0
2995	2
7186	-1
4921	1
2380	1
701	0
1181	2
5052	2
998	0
7224	1
4454	1
6379	1
5393	-1
485	2
5902	0
6436	0
2827	-1
2011	1
7274	0
2317	2
2675	0
3110	2
2005	2
5110	2
7215	2
1083	1
3946	0
5322	1
5236	0
3604	2
6026	0
4020	0
6696	1
2639	2
4139	2
5953	1
300	-1
2971	2
5589	0
1744	1
6899	0
2484	0
4665	2
1742	0
1178	0
2877	1
1704	0
3516	1
2652	1
6041	0
5744	2
7201	2
4431	0
1768	0
498	0
2323	1
2913	1
3797	-1
5167	2
2055	0
1355	1
6538	0
2019	1
2798	0
2041	1
4224	0
861	0
3840	1
778	1
1837	0
6295	0
1954	1
883	1
2775	0
6937	0
6791	1
7164	1
7356	-1
1059	2
5297	1
296	0
6970	1
3607	-1
7225	1
833	1
2871	0
6469	1
2480	1
3986	1
5135	1
4347	2
933	1
1177	2
5122	0
1895	1
7111	0
3105	0
3104	-1
4414	0
6851	-1
4074	1
1021	2
2105	0
722	1
609	0
6980	0
7041	0
6370	1
414	0
4028	1
2185	1
2043	1
1633	0
5626	0
118	1
7147	0
7037	-1
2661	1
6961	0
1004	0
1970	1
7342	1
2099	1
1053	2
229	1
5947	2
5722	1
3983	1
457	0
4559	0
1568	0
1285	0
1449	1
3341	1
1056	0
7105	-1
5773	2
3199	2
6590	2
641	0
5412	1
7315	2
568	0
4891	1
4463	2
2619	0
2650	0
447	0
1533	2
2832	-1
5231	2
2059	0
6430	0
4444	1
316	1
5869	2
4179	2
7196	0
5206	1
740	0
7088	0
2847	2
660	1
3189	1
2398	2
6120	2
6560	1
6508	0
247	1
2282	0
4274	-1
3739	2
6229	0
1155	0
2251	2
4515	1
5631	-1
1075	0
3168	0
7301	0
4538	2
666	0
4152	0
799	0
2809	1
4191	1
1228	0
309	1
7349	2
1261	1
3834	2
2121	2
5820	2
5499	2
1975	2
4838	2
7060	0
7185	0
1623	0
1297	0
436	1
5302	2
7261	1
2546	0
1245	-1
2047	1
3346	1
7160	1
6040	0
4876	1
852	1
2022	1
5184	0
7204	0
5308	2
3931	0
2305	0
6810	2
877	1
2950	1
3378	1
822	0
6629	1
3562	0
3413	0
2902	2
3393	0
1598	1
3306	0
3145	2
4163	0
3116	0
4198	2
5286	1
6938	0
579	2
6193	-1
7096	0
4648	0
2004	1
1206	1
2447	1
96	0
5830	1
2505	0
7343	2
1163	0
2645	-1
6920	0
3249	2
6314	0
4766	0
1512	-1
5185	0
3970	0
5362	0
4157	2
2215	-1
7125	0
3526	1
6569	0
6977	0
5918	0
6232	0
3721	0
2128	1
4242	0
729	1
719	0
2157	0
5357	1
3661	0
4633	0
4294	0
7048	0
3549	1
6432	0
3282	2
6296	0
7267	0
1310	0
2100	0
1838	0
3425	2
1331	0
5341	2
1748	0
393	1
5108	2
197	1
7345	1
4029	0
2768	1
5283	1
2410	0
6641	-1
4728	0
6392	-1
216	1
716	0
712	1
5614	1
7131	0
2096	0
1911	0
1073	1
4478	2
6672	1
3513	1
2393	2
1694	2
5998	1
3698	2
5606	-1
4904	-1
5088	1
1101	1
1270	0
6718	2
6471	1
3385	1
4701	1
6931	0
292	0
2511	0
2081	2
3884	0
3881	0
897	1
1503	1
1134	0
5885	-1
968	0
6507	2
1612	1
7235	-1
981	0
373	0
2508	1
6317	1
4823	0
6877	-1
5181	1
5665	1
5576	0
2594	-1
7190	0
2188	1
3747	1
5074	1
6214	0
1019	1
4073	0
3192	2
5634	0
4561	0
48	1
4703	0
1796	0
6181	-1
2463	1
1905	2
2313	0
6785	0
3678	1
7093	1
5383	1
6860	-1
5761	2
916	0
1387	0
1812	0
1014	1
724	-1
7085	0
1322	2
1306	0
3396	1
1117	0
4428	0
1863	0
2056	2
931	0
4725	2
6380	1
2381	0
3459	2
1924	0
2543	0
2454	1
5232	2
5690	2
5994	2
6559	1
3334	1
302	2
3724	2
4802	0
4998	0
713	1
3800	0
6671	2
731	0
2378	1
6136	0
2416	0
3727	2
4442	1
544	-1
5342	0
7064	0
5816	0
6339	0
2222	-1
1594	0
5942	1
5420	-1
3106	1
1176	0
3453	0
2231	0
349	1
4629	2
1200	1
206	-1
5216	2
3611	2
8	2
5396	0
456	0
2951	-1
3335	0
6935	0
5023	0
4413	0
2625	-1
4702	-1
3638	2
4251	0
6387	0
7157	0
617	1
2324	1
820	-1
4216	0
730	0
4873	1
2728	1
3463	0
5650	1
4758	2
1945	0
5021	0
2843	0
2487	0
2520	1
5288	-1
1349	0
4871	2
4623	0
390	0
1362	0
6030	0
2834	1
1873	0
1963	2
5799	1
522	0
344	1
1325	0
658	-1
6951	2
836	0
880	1
5173	1
5229	1
2946	1
1017	1
6166	0
781	1
6983	1
5035	1
2074	1
6603	0
37	0
2651	1
3521	0
2542	1
3867	0
4906	2
7401	0
6338	0
1513	-1
4195	0
727	0
4334	-1
387	1
5211	1
4830	1
6092	0
3605	1
1255	1
6105	0
2053	2
4859	0
595	1
1640	2
2878	1
3370	0
1072	1
1427	0
6850	1
5880	-1
3965	0
3951	0
826	0
4614	1
4782	0
6440	2
6468	0
4700	2
2583	-1
4863	0
7082	0
5552	-1
2119	0
1540	1
3872	0
991	0
6369	2
4688	0
2458	1
7031	0
2457	1
1436	2
5832	0
5487	-1
4616	0
7018	1
3408	0
6796	0
2875	-2
4651	0
1033	2
4710	2
5446	-2
1312	2
3885	0
5351	0
3496	1
860	0
1670	1
3613	1
4923	2
372	1
4019	0
2548	0
4865	0
2952	1
4474	0
371	2
6258	0
2860	0
5026	0
5166	2
6198	1
2374	1
6441	-1
849	1
1081	1
2674	2
1029	0
72	-1
4522	-1
6121	2
4432	1
1592	0
2025	0
2762	0
2981	2
4976	-1
1437	1
4676	0
1781	0
1576	1
692	1
2136	0
1865	0
4433	0
1818	1
1098	1
921	1
6733	0
2498	0
1296	0
941	0
5555	2
4620	1
2435	1
6434	0
992	1
3673	0
3670	1
6155	1
4243	-1
2514	0
2394	0
2145	0
2649	0
4925	1
4466	0
7337	1
4027	0
3394	0
5059	-1
6829	0
380	2
5486	2
6326	0
3935	0
2664	0
4804	2
614	0
4002	0
4086	2
2288	-1
392	0
566	1
5815	0
4759	0
4570	0
2621	2
6426	1
606	1
1209	0
7243	0
2287	2
5719	1
6752	2
4612	2
4625	0
5732	-1
6639	0
478	0
2477	-1
299	0
4331	0
5889	0
5462	2
5275	1
5578	0
3758	2
1860	2
7400	2
1274	1
5541	2
3227	2
4462	2
7017	0
3490	1
581	0
4250	0
2705	0
3032	1
7200	1
4052	0
496	2
5038	0
2017	0
3366	1
6625	-1
1664	0
5570	0
182	0
1043	2
7073	0
6406	0
6988	0
1557	1
2730	2
4388	2
5417	1
5549	1
5827	-1
6283	0
7127	1
3723	0
190	0
6313	2
6208	0
442	0
5865	0
3744	1
6360	0
65	0
4555	1
3337	1
6109	0
2424	0
1154	0
226	0
2007	0
2197	2
3127	1
4403	-1
573	1
721	0
5846	0
6128	2
6713	0
3256	2
3201	2
2529	0
1332	0
3495	0
2509	1
5168	0
7272	1
7211	2
3100	0
4557	0
432	0
3351	0
1907	2
189	0
6061	1
1277	1
3732	0
7142	-1
3667	-1
6735	1
800	-1
1803	0
6452	-1
3449	2
4979	0
6375	1
3416	2
6673	-1
5379	2
7348	2
6501	2
3606	1
4329	0
5703	0
2632	-1
6595	0
936	1
1941	1
2162	0
131	0
6879	0
1806	1
4948	2
1802	0
4069	2
6999	1
41	2
2907	1
4696	2
4715	1
7182	0
2016	1
2054	1
5292	0
3873	2
7047	0
328	0
5663	1
5092	1
6203	0
3171	2
565	1
5134	0
3354	1
4252	0
5926	2
6617	1
6880	1
4016	0
4373	2
3609	0
4471	1
811	-1
5934	1
1771	0
1484	2
7316	0
2970	0
889	0
1492	1
4907	0
3355	2
6616	0
3410	1
4587	0
6666	1
2411	0
955	0
1221	0
3197	2
6319	2
6708	1
3617	-1
6610	0
4894	1
1624	1
2315	-1
5528	-1
2850	0
4692	1
3538	1
2687	0
325	0
3283	0
6871	2
2187	0
5887	0
6267	0
6063	-1
867	1
6636	-1
2630	-1
6074	1
2150	0
4490	0
2312	1
4528	0
3231	2
5615	2
3595	-1
234	0
4142	2
3264	1
6377	1
1334	1
3244	1
3591	-1
3118	0
748	1
3356	-2
5500	1
937	0
7209	2
3424	0
6312	2
492	0
6746	1
6712	0
4647	0
1341	0
7177	1
7353	-1
2126	2
2653	0
1606	2
4456	-1
5106	0
3141	-2
7144	0
2899	2
3809	-1
124	0
5107	2
3084	0
1295	0
334	2
7327	1
7296	1
3654	2
7359	0
5632	1
2896	0
4291	0
5651	1
4858	1
5856	1
3599	0
5748	0
6707	0
1808	1
1965	-1
5888	-1
4501	1
4656	-1
1894	0
1877	2
1090	1
6716	1
490	2
3683	2
982	0
1094	1
4346	2
5012	0
749	1
3564	0
2773	0
2327	0
3384	0
4933	2
3870	-1
4079	0
4764	0
5100	2
627	1
7220	2
5787	0
6529	0
5502	-1
3835	1
4817	2
278	0
2159	1
6343	0
4803	0
369	0
536	2
5694	2
1990	1
4371	1
2872	1
788	0
1973	0
6613	1
1898	0
3855	0
361	0
6662	0
4435	0
4513	0
3248	0
4321	0
2550	-1
5022	0
6482	2
5764	0
7110	1
5343	0
