	Text	Value	Tokens
0	HP در سال 2009 برای اولین بار لپ‌تاپ‌های بیزینسی ProBook S را معرفی کرد.	0	['HP', 'سال', '2009', 'لپ\u200cتاپ\u200cهای', 'بیزینسی', 'ProBook', 'S', 'معرفی']
1	این لپ‌تاپ‌ها در سال 2010 به نسل اول پردازنده های Intel Core و همچنین بدنه ای آلومینیومی به روز شدند و این بار در سال 2012 نسل سوم این لپ‌تاپ‌ها وارد بازار شده است که نه تنها به طراحی آلومینیومی جدیدی دارند،  بلکه از پردازنده های به روزتر و سریع‌تری نیز بهره می‌برند.	1	['لپ\u200cتاپ\u200cها', 'سال', '2010', 'نسل', 'پردازنده', 'Intel', 'Core', 'بدنه', 'آلومینیومی', 'سال', '2012', 'نسل', 'لپ\u200cتاپ\u200cها', 'وارد', 'بازار', 'شده_است', 'طراحی', 'آلومینیومی', 'جدیدی', 'پردازنده', 'روزتر', 'سریع\u200cتری', 'بهره', 'می\u200cبرند']
2	مدل 4540s،  یک مدل 15.6 اینچی از این سری جدید است که به تازگی وارد بازار شده است.	0	['مدل', '4540', 's', 'مدل', '15.6', 'اینچی', 'تازگی', 'وارد', 'بازار', 'شده_است']
3	• طراحی و ساخت بدنه خارجی دستگاه از ترکیبی از فلز آلومینیوم و پلاستیک ساخته شده است.	0	['•', 'طراحی', 'ساخت', 'بدنه', 'خارجی', 'دستگاه', 'ترکیبی', 'فلز', 'آلومینیوم', 'پلاستیک', 'ساخته_شده_است']
4	جنس بدنه این لپ‌تاپ طوریست که اثر انگشت را جذب نمی‌کند.	1	['جنس', 'بدنه', 'لپ\u200cتاپ', 'طوریست', 'اثر', 'انگشت', 'جذب']
5	به همین دلیل سطح آن همواره تمیز باقی می‌ماند.	1	['دلیل', 'سطح', 'تمیز', 'باقی', 'می\u200cماند']
6	لبه های لپ‌تاپ کاملا انحنا داشته و این امر کمک قابل توجهی به کار کردن و حمل و نقل لپ‌تاپ می‌کند.	1	['لبه', 'لپ\u200cتاپ', 'انحنا', 'امر', 'کمک', 'توجهی', 'کار', 'حمل', 'نقل', 'لپ\u200cتاپ', 'می\u200cکند']
7	طراحی سری 4540s همانند اکثر لپ‌تاپ‌های کمپانی HP،  بسیار ساده و در عین حال شکیل است.	2	['طراحی', '4540', 's', 'لپ\u200cتاپ\u200cهای', 'کمپانی', 'HP', 'ساده', 'عین', 'شکیل']
8	وزن این دستگاه تنها 2.3 کیلوگرم است که برای یک لپ‌تاپ 15.6 اینچی،  وزن بسیار مناسبی محسوب می‌شود.	2	['وزن', 'دستگاه', '2.3', 'کیلوگرم', 'لپ\u200cتاپ', '15.6', 'اینچی', 'وزن', 'مناسبی', 'محسوب']
9	کیفیت ساخت 4540s همانند مدل‌های سال‌های گذشته خانواده ProBook بسیار بالا بوده و بدنه با ضربات وارد شده طی مصارف روزانه، دچار خمش و یا پیچش نمی‌شود.	2	['کیفیت', 'ساخت', '4540', 's', 'مدل\u200cهای', 'سال\u200cهای', 'خانواده', 'ProBook', 'بدنه', 'ضربات', 'وارد', 'مصارف', 'دچار', 'خمش', 'پیچش']
10	• ورودی‌ها و خروجی‌ها از لحاظ پورت‌ها،  4540s بسیار کامل است.	2	['•', 'ورودی\u200cها', 'خروجی\u200cها', 'لحاظ', 'پورت\u200cها', '4540', 's']
11	لبه جلویی دستگاه شامل ورودی و خروجی صوتی و یک کارت خوان چهار کاره می‌باشد.	0	['لبه', 'جلویی', 'دستگاه', 'شامل', 'ورودی', 'خروجی', 'صوتی', 'کارت', 'خوان', 'کاره', 'می\u200cباشد']
12	به علاوه خروجی‌های تصویری VGA و HDMI و پورت شبکه گیگابیتی نیز وجود دارند.	0	['علاوه', 'خروجی\u200cهای', 'تصویری', 'VGA', 'HDMI', 'پورت', 'شبکه', 'گیگابیتی']
13	در دو طرف دستگاه چهار پورت USB قرار دارند که دو تای آن‌ها از نوع USB 2.0 بوده و دو تای دیگر از نوع USB 3.0 هستند.	0	['دستگاه', 'پورت', 'USB', 'قرار', 'تای', 'USB', '2.0', 'تای', 'USB', '3.0']
14	• صفحه نمایش همان‌طور که گفتیم،  ProBook 4540s یک لپ‌تاپ 15.6 اینچی است.	0	['•', 'صفحه', 'نمایش', 'همان\u200cطور', 'ProBook', '4540', 's', 'لپ\u200cتاپ', '15.6', 'اینچی']
15	صفحه نمایش قرار داده شده بر روی این لپ‌تاپ از دقت 1366x768 بهره می‌برد که تراکم پیکسلی متوسطی را ارائه می‌دهد.	0	['صفحه', 'نمایش', 'قرار', 'لپ\u200cتاپ', 'دقت', '1366', 'x', '768', 'بهره', 'می\u200cبرد', 'تراکم', 'پیکسلی', 'متوسطی', 'ارائه', 'می\u200cدهد']
16	کیفیت تصاویر تولید شده شفاف و رنگ‌ها نیز کاملا طبیعی و زنده هستند.	2	['کیفیت', 'تصاویر', 'تولید', 'شفاف', 'رنگ\u200cها', 'طبیعی', 'زنده']
17	از نقاط قوت اصلی صفحه نمایش این لپ‌تاپ‌ها می‌توان به روکش ضد بازتاب آن اشاره آن کرد که به کاربران این امکان را می‌دهد که بتوانند با لپ‌تاپ خود به راحتی در فضاهای پر نور و یا در زیر تابش مستقیم نور آفتاب کار کنند.	1	['نقاط', 'قوت', 'اصلی', 'صفحه', 'نمایش', 'لپ\u200cتاپ\u200cها', 'می\u200cتوان', 'روکش', 'ضد', 'بازتاب', 'اشاره', 'کاربران', 'امکان', 'می\u200cدهد', 'بتوانند', 'لپ\u200cتاپ', 'راحتی', 'فضاهای', 'پر', 'نور', 'تابش', 'مستقیم', 'نور', 'آفتاب', 'کار']
18	زاویه دید افقی رضایت بخش بوده ولی زاویه دید عمودی بسیار محدود است به طوری که اگر کمی از بالا و یا پایین به صفحه نمایش لپ‌تاپ نگاه کنید،  تغییر قابل توجهی در کیفیت رنگ‌های تولید شده،  مشاهده خواهید کرد.	0	['زاویه', 'دید', 'افقی', 'رضایت', 'زاویه', 'دید', 'عمودی', 'محدود', 'طوری', 'پایین', 'صفحه', 'نمایش', 'لپ\u200cتاپ', 'تغییر', 'توجهی', 'کیفیت', 'رنگ\u200cهای', 'تولید', 'مشاهده', 'خواهید_کرد']
19	در بالای این صفحه نمایش یک وب کم 2 مگاپیکسلی HD قرار دارد.	0	['صفحه', 'نمایش', 'وب', '2', 'مگاپیکسلی', 'HD', 'قرار']
20	تصاویر گرفته شده با این وب کم از کیفیت رضایت بخشی برخوردارند.	1	['تصاویر', 'وب', 'کیفیت', 'رضایت']
21	• بلندگوها در بالای کیبورد،  دو بلندگوی استریوی دستگاه قرار دارند که در زیر یک گرید یک تکه تعبیه شده‌اند.	0	['•', 'بلندگوها', 'کیبورد', 'بلندگوی', 'استریوی', 'دستگاه', 'قرار', 'گرید', 'تکه', 'تعبیه', 'شده\u200cاند']
22	این بلندگوها به تکنولوژی SRS Premium Sound PRO مجهز بوده و کیفیت صدای رضایت بخشی را ارائه می‌دهند.	1	['بلندگوها', 'تکنولوژی', 'SRS', 'Premium', 'Sound', 'PRO', 'مجهز', 'کیفیت', 'صدای', 'رضایت', 'ارائه', 'می\u200cدهند']
23	بلندی صدا نیز بسیار مناسب است ولی با این وجود،  علاقه‌مندان به موسیقی و تماشای ویدئو بهتر است که از بلندگوهای خارجی و یا هدفون استفاده کنند.	1	['بلندی', 'صدا', 'مناسب', 'علاقه\u200cمندان', 'موسیقی', 'تماشای', 'ویدئو', 'بلندگوهای', 'خارجی', 'هدفون']
