	0
0	دوربین اصلی این گوشی دارای یک سنسور مگاپیکسلی می‌باشد که قابلیت فیلم برداری با کیفیت FullHD با سرعت 30 فریم بر ثانیه را نیز داراست.
1	کارت‌های حافظه ای که معمولا بر روی گوشی‌های هوشمند تلفن همراه نه دوربین‌ها استفاده می‌شوند.
2	اندازه رزولوشن نمایشگر iPod دقیقا همانند iPhone می باشد.
3	اما صفحه نمایش دوربین فیلمبرداری JVC GZ-MG335، از نوع TFT در اندازه 2.7 اینچ با تعداد 123000 پیکسل از نوع استاندارد است.
4	نهایتا، بر روی قاب پشتی گوشی نیز، دوربین به همراه فلاش یک بلندگو به چشم می‌خورند.
5	ایسوس در پایین این گوشی یک پورت ترکیبی قرار داده که آن را MHL می‌نامد.
6	البته مقداری از وزن اضافه مربوط به لنز قدرتمند 28-392 میلی‌متری آن با توانایی زوم 14X می‌باشد که در هنگام زوم کامل حدود اینچ (5 سانتی‌متر) از بدنه بیرون می‌آید.
7	فراموش کنید که هر سه مدل Helmet، MotorSports، Surf دارای دوربین هایی با مشخصات یکسان می باشد تنها تفاوت آنها در متعلقات تجهیزات تکمیلی اتصال موجود در جعبه می باشد.
8	شوتینگ مودهای دستی شامل به معنی تنظیمات دستی کامل، TV به معنی اولویت تنظیم سرعت شاتر تنظیم دیافراگم به صورت خودکار، AV به معنی اولویت تنظیم دیافراگم تنظیم سرعت شاتر به صورت خودکار به معنی Program که تلفیقی از این سه مود می‌شود.
9	انرژی این دوربین از طریق باتری لیتیوم-یونی قابل شارژ تامین می شود که طبق استانداردهای CIPA در هر بار شارژ کامل توانایی پشتیبانی برای گرفتن تا 195 عکس را دارد.
10	قدرت ipad اما کوچکتر
11	همانطور که گفتیم، SL300 SL260 دو دوربین جدید از یک سری جدید در بین دوربین های Bridge یا DSLR Like شرکت فوجی فیلم می‌باشند از نظر فن آوری می‌توان آن‌ها را جایی در بین دوربین HS30 EXR X-S1 جای داد.
12	منم مثل خيلي هاي ديگه عشق نيکون کانن رو داشتم!
13	با اين دوربين هم ميشه عکسهاي عالي گرفت هم عکسهاي خيلي ضعيف..
14	صفحه نمایش اینچی این تبلت از نوع IPS بوده قادر است تصاویر را با دقت 800×1280 پیکسل نمایش دهد.
15	دوربیندوربین جایی است که در این گوشی جای بحث زیادی دارد، چرا که این قسمت همواره ویژگی بوده که شرکت در آن عقب‌تر از دیگر تولیدکنندگان بوده است.
16	به همین دلیل، حسی که هنگام کار کردن با صفحه Retinaی MacBook Pro به شما انتقال می‌شود، با صفحه Retinaی آیفون4 برابری می‌کند.
17	دوربین دوربین مگاپیکسلی این گوشی قادر است عکس‌هایی با رزولوشن 2592X1944 پیکسل را ثبت نماید.
18	از کيفيت بالاتري برخوردار اند.
19	از بالا که شروع کنیم شاهد یک دکمه‌ی On/Off هستیم.
20	با کمي هزينه بيشتر يک گوشي سوني در همين رده بگيريد بهتر خواهد بود.
21	پس حتما ادامه‌ی نقد بررسی را بخوانید!
22	پس اگر شما هم به دنبال یک گوشی ویندوزی هستید نمی‌خواهید هزینه زیادی برای داشتن یکی از آن‌ها مانند لومیا 920 یا HTC Windows Phone 8X انجام دهید، حتما این گوشی را مورد بررسی خود قرار دهید.
23	در مورد فیلم برداری هم باید گفت که خیلی نکته خاصی وجود ندارد.
24	ممکن است برخی گیمرها، PS3 Sony را برترین کنسول بازی بدانند برخی دیگر Nintendo Wii یا Xbox 360 را.
25	کافی است کیت تکامل هوشمند Smart Evolution سامسونگ را در تلویزیون خود قرار دهید بگذارید جادوی خود را اجرا کند.
26	شوتینگ مودهای کامل یک دوربین DSLR مثل manual، Shutter priority Aperture priority نیز بر روی NEX-VG10 یافت می شوند.
27	کنترل هایی چون دایل قسمت بالایی، دکمه ISO، جبران نوردهی AF/AE Lock.
28	با توجه به ابعاد ظرفیت این باتری ها، انتظار شارژدهی بالایی از Sleekbook ها نداشتیم.
29	این موضوع را نخست از توانایی زوم لنز آن می توان دریافت.
30	صفحه نمایش قرار داده شده بر روی این لپ‌تاپ از دقت 1366x768 بهره می‌برد که تراکم پیکسلی متوسطی را ارائه می‌دهد.
31	تفاوتی که شاید تاثیر چشم گیری در کیفیت تصاویر ثبت شده ایجاد نمی کند.
32	تنها اشکالي که پيش اومد اين بود که من چهارشنبه دوربين رو سفارش دادم قرار بود که پنجشنبه بيارن اما پنجشنبه صبح در مورد آدرس کار داشتم تماس تلفني گرفتم کسي پاسخگو نبود اما همون ساعتي که قول داده بودن برام دوربين رو آوردن.
33	این دوربین تنها دارای یک شیار کارت حافظه است این در حالیست که Canon Vixia G10 دو شیار کارت حافظه دارد.
34	اگر نسخه 3G این تبلت را تهیه کرده باشید، در کنار شیار مموری کارت، شیار میکرو سیم کارت نیز قرار دارد.
35	البته بعد از آي پد 2و3و4
36	براي اينکه ببينيد باتري قابله تعويضه يا نه يه سر به سايتهاي معروف موبايل خارجي بزنيد.
37	همچنین عمل اسکن را هم باید خیلی خوب انجام دهد.
38	در سمت راست این گوشی کلید های پاور، کنترل صدا شاتر قرار گرفته‌اند.
39	از نظر کیفیت تصاویر باید گفت که Legira HF R206 خیلی متوسط عمل می‌کند.
40	در قسمت لبه‌ی سمت راست دوربین کاوری لاستیکی دیده می‌شوند که پورت‌های این دوربین زیر آن قرار گرفته‌اند.
41	این نوت‌بوک از پورت HDMI برای اتصال آن به HDTV هم بهره می‌برد.
42	نمایشگر این گوشی 3.5 اینچی با رزولوشن HVGA است.
43	سامسونگ کلا عادت دارد که چنین چیزهایی را بر روی دوربین خود قرار دهد.
44	i5 رو خريدم، سيم کارتم روي 4s بود، داخل خشابش گذاشتم فروشنده پانچش کرد.
45	با تشکر از خدمات بي نظير دي جي کالا
46	در ضمن، این دوربین قادر است با کیفیت Full HD سرعت 30 فریم بر ثانیه فیلم برداری نماید.
47	همچنین عمل فوکوس را نیز می‌توانید به صورت دستی بر عهده بگیرید.
