	0
0	1
1	2
2	0
3	0
4	1
5	1
6	0
7	2
8	2
9	-1
10	0
11	1
12	1
13	0
14	1
15	-1
16	2
17	2
18	0
19	2
20	2
21	2
22	2
23	2
24	0
25	2
26	0
27	-1
28	2
29	1
30	0
31	-2
32	0
33	2
34	0
35	-1
36	-1
37	1
38	1
39	0
40	-1
41	1
42	-1
43	0
44	0
45	1
46	1
47	0
48	0
49	2
50	1
51	1
52	1
53	0
54	1
55	2
56	1
57	0
58	1
59	-1
60	1
61	1
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	2
72	0
73	-1
74	0
75	1
76	-1
77	0
78	1
79	-1
80	0
81	0
82	1
83	1
84	-1
85	2
86	0
87	0
88	-1
89	1
90	1
91	2
92	0
93	2
94	0
95	0
96	0
97	0
98	-1
99	-1
100	-1
101	1
102	0
103	0
104	0
105	2
106	2
107	2
108	1
109	0
110	2
111	1
112	0
113	-1
114	-2
115	0
116	0
117	0
118	2
119	0
120	0
121	2
122	1
123	1
124	-1
125	0
126	1
127	1
128	-1
129	0
130	2
131	1
132	0
133	1
134	0
135	1
136	0
137	2
138	0
139	2
140	0
141	1
142	2
143	0
144	-1
145	0
146	2
147	0
148	0
149	1
150	-1
151	0
152	2
153	1
154	2
155	2
156	0
157	0
158	0
159	1
160	1
161	0
162	0
163	-1
164	0
165	0
166	2
167	0
168	0
169	2
170	1
171	2
172	0
173	1
174	1
175	0
176	1
177	0
178	1
179	0
180	0
181	0
182	0
183	0
184	1
185	2
186	0
187	-1
188	1
189	1
190	1
191	2
192	0
193	1
194	1
195	0
196	1
197	2
198	-1
199	-1
200	1
201	0
202	1
203	-1
204	1
205	0
206	0
207	2
208	1
209	2
210	0
211	1
212	2
213	0
214	2
215	-1
216	0
217	2
218	0
219	-1
220	-1
221	0
222	2
223	2
224	0
225	-1
226	0
227	1
228	2
229	1
230	2
231	-1
232	2
233	2
234	2
235	0
236	0
237	0
238	1
239	1
240	1
241	0
242	0
243	0
244	-1
245	-1
246	1
247	0
248	0
249	-1
250	1
251	1
252	0
253	2
254	-1
255	1
256	1
257	0
258	1
259	0
260	1
261	0
262	0
263	0
264	1
265	0
266	1
267	0
268	1
269	0
270	1
271	2
272	-1
273	0
274	0
275	0
276	0
277	2
278	0
279	1
280	0
281	-1
282	0
283	2
284	0
285	0
286	0
287	0
288	0
289	0
290	1
291	1
292	1
293	0
294	0
295	2
296	0
297	0
298	0
299	2
300	-1
301	0
302	2
303	0
304	1
305	0
306	2
307	2
308	2
309	0
310	2
311	0
312	-1
313	1
314	2
315	1
316	1
317	1
318	2
319	1
320	0
321	2
322	1
323	0
324	-1
325	1
326	0
327	1
328	0
329	0
330	1
331	-1
332	1
333	1
334	0
335	0
336	1
337	1
338	0
339	1
340	-1
341	2
342	0
343	-1
344	0
345	1
346	0
347	2
348	-1
349	1
350	1
351	0
352	2
353	2
354	0
355	1
356	1
357	1
358	-1
359	2
360	0
361	0
362	-1
363	1
364	0
365	2
366	0
367	2
368	2
369	2
370	2
371	1
372	0
373	1
374	0
375	2
376	0
377	0
378	1
379	2
380	2
381	1
382	-1
383	2
384	0
385	1
386	0
387	0
388	2
389	0
390	0
391	1
392	0
393	1
394	1
395	0
396	2
397	2
398	0
399	0
400	0
401	1
402	1
403	-1
404	2
405	0
406	1
407	0
408	1
409	0
410	1
411	0
412	0
413	1
414	1
415	0
416	0
417	1
418	1
419	0
420	0
421	1
422	1
423	-1
424	2
425	1
426	0
427	1
428	-1
429	1
430	1
431	0
432	1
433	1
434	1
435	1
436	2
437	1
438	2
439	0
440	1
441	0
442	0
443	-1
444	0
445	-1
446	1
447	2
448	0
449	1
450	0
451	0
452	0
453	1
454	0
455	1
456	1
457	1
458	0
459	0
460	1
461	0
462	-1
463	1
464	0
465	0
466	1
467	1
468	1
469	2
470	1
471	2
472	1
473	1
474	0
475	0
476	0
477	0
478	1
479	1
480	0
481	-1
482	2
483	2
484	2
485	0
486	1
487	2
488	0
489	1
490	2
491	0
492	0
493	0
494	2
495	-1
496	2
497	0
498	0
499	1
500	1
501	2
502	2
503	0
504	1
505	0
506	0
507	2
508	1
509	1
510	2
511	2
512	1
513	0
514	1
515	0
516	-1
517	2
518	0
519	0
520	2
521	1
522	-1
523	0
524	0
525	0
526	2
527	0
528	0
529	0
530	1
531	1
532	0
533	1
534	2
535	1
536	2
537	2
538	2
539	2
540	2
541	2
542	0
543	0
544	0
545	0
546	1
547	2
548	1
549	0
550	-1
551	1
552	1
553	1
554	0
555	1
556	1
557	1
558	0
559	0
560	2
561	0
562	0
563	2
564	1
565	1
566	1
567	0
568	1
569	0
570	0
571	2
572	0
573	1
574	0
575	2
576	0
577	0
578	2
579	1
580	0
581	2
582	-1
583	0
584	0
585	1
586	1
587	1
588	0
589	1
590	0
591	2
592	0
593	-1
594	0
595	2
596	0
597	0
598	-1
599	0
600	0
601	0
602	2
603	-1
604	0
605	1
606	0
607	0
608	0
609	0
610	0
611	1
612	0
613	1
614	0
615	0
616	1
617	0
618	0
619	0
620	0
621	1
622	0
623	2
624	0
625	0
626	0
627	0
628	0
629	2
630	0
631	2
632	0
633	1
634	2
635	1
636	1
637	0
638	1
639	1
640	0
641	-1
642	0
643	-1
644	1
645	0
646	1
647	1
648	0
649	0
650	0
651	1
652	2
653	1
654	1
655	2
656	2
657	1
658	2
659	-1
660	-1
661	1
662	1
663	0
664	2
665	1
666	1
667	1
668	0
669	0
670	0
671	2
672	0
673	0
674	1
675	1
676	0
677	-1
678	0
679	2
680	1
681	-1
682	0
683	0
684	1
685	1
686	0
687	-1
688	1
689	1
690	0
691	-1
692	0
693	1
694	1
695	1
696	0
697	1
698	0
699	2
700	0
701	0
702	1
703	0
704	0
705	-1
706	1
707	2
708	0
709	0
710	1
711	1
712	1
713	-1
714	2
715	0
716	0
717	0
718	1
719	-1
720	0
721	2
722	0
723	1
724	0
725	0
726	0
727	2
728	0
729	2
730	1
731	0
732	2
733	0
734	0
735	1
736	2
737	2
738	2
739	1
740	1
741	2
742	2
743	0
744	0
745	1
746	0
747	2
748	0
749	1
750	0
751	0
752	2
753	1
754	-1
755	0
756	0
757	0
758	0
759	-1
760	0
761	1
762	-1
763	1
764	0
765	0
766	0
767	1
768	2
769	1
770	-1
771	2
772	2
773	2
774	0
775	0
776	-1
777	0
778	0
779	0
780	0
781	-1
782	-1
783	2
784	0
785	0
786	0
787	1
788	1
789	-1
790	0
791	0
792	1
793	1
794	0
795	1
796	2
797	0
798	0
799	0
800	0
801	1
802	-1
803	0
804	2
805	0
806	0
807	0
808	0
809	1
810	0
811	2
812	1
813	0
814	1
815	0
816	-1
817	2
818	0
819	1
820	1
821	1
822	1
823	1
824	0
825	1
826	1
827	1
828	1
829	0
830	0
831	1
832	0
833	1
834	0
835	2
836	0
837	0
838	-1
839	0
840	0
841	-1
842	1
843	1
844	1
845	0
846	1
847	1
848	0
849	2
850	0
851	1
852	2
853	1
854	0
855	1
856	0
857	1
858	-1
859	0
860	0
861	0
862	1
863	0
864	2
865	0
866	2
867	-1
868	0
869	0
870	-1
871	0
872	1
873	0
874	0
875	2
876	0
877	1
878	0
879	1
880	2
881	0
882	-1
883	0
884	1
885	0
886	0
887	-2
888	0
889	2
890	2
891	-2
892	2
893	0
894	0
895	1
896	0
897	1
898	1
899	2
900	1
901	0
902	0
903	0
904	1
905	0
906	2
907	0
908	0
909	0
910	2
911	1
912	1
913	-1
914	1
915	1
916	2
917	0
918	-1
919	-1
920	2
921	1
922	0
923	0
924	0
925	2
926	-1
927	1
928	0
929	0
930	1
931	1
932	0
933	0
934	0
935	1
936	1
937	1
938	0
939	0
