	0
0	گوشي خوبيه(قوي و شکيل و زيبا و بي رقيب)البته تو تيپ وگروه خودش عاليه!
1	سلام خيلي خوبه بخرين.
2	از جمله قابلیت‌های ارتباطی HTC Desire SV می‌توان به پشتیبانی از Wi-Fi،  GPRS،  3G اشاره کرد که برقراری ارتباط با اینترنت را به سهولت فراهم می‌کنند.
3	نهایتا،  یک دوربین VGA نیز برای انجام مکالمات تصویری در قسمت جلویی گوشی تعبیه گردیده است.
4	من حدوداً ۱ ماهي‌ که مي‌شه اين گوشي رو دارم، راضي‌ هم هستم، در مورد دکمه‌هاي لمسي پايين گوشي بايد گفت که حساسيت اين دکمه‌ها کم نيست، بلکه قسمت حساس اين دکمه‌ها خيلي‌ ريز طراحي‌ شده، واسه همين يا بايد دستتون رو روش بکشيد يا اينکه نقطه حساس رو پيدا کرده و طبقه عادت بتونين دقيق اون نقطه رو لمس کنين (دقيقترش مي‌شه يه ذره بالاتر از علامت روي دکمه ها، تقريبا نوک علامت ها)، اينطوري ديگه نيازي به کشيدن هم نداره.
5	اندازه نسبتاً مناسب و وزن خوب 4.
6	گوشيه خوب و شيکيه / ولي خيلي به صرفه نيست
7	تقريبا 2 سال هست که از اين اسکنر استفاده ميکنم و کاملا  از آن راضيم
8	کلیدها فضای کافی برای فشار دادن داشته و بازخورد بسیار خوبی دارند.
9	"با سلام
من يک هفته است که دوربين رو خريداري کردم
اولين نکته  که اين دوربين ساخت چين است
دوم اينکه در مود دستي که رنگهاي عکاسي استاندارد و کرم و سياه و سفيد دارد شما عکس کرم را نميتوانيد بگيريد و فقط سياه سفيد و استاندارد را ميتوان انتخاب کرد
سوم اينکه با توجه به قيمت آن عکسهاي خوبي نمي توان گرفت و فقط کار راه انداز است"
10	البته کیفیت فیلم برداری آن خوب است ولی برای مثال فقدان سیستم لرزش گیر تصویر اپتیکال باعث می‌شود که اگر بخواهید خیلی جدی فیلم برداری کنید به سه پایه هم احتیاج داشته باشید.
11	البته تنها کیفیت بالای تاچ پد،  دلیل این امر نیست و یکپارچه بودن سیستم عامل OS X نیز با فرمان‌های لمسی ،  در این امر بسیار موثر است.
12	"اينبار اپل ترکوند  واقعا خيلي گوشيه زيباييه ولي از لحاظ سخت افزاري هنوز يکمي مونده تا به S3 برسه
"
13	ولی افزایش پرینت ها به 20 صفحه باعث شد که بتوانیم به سرعت 15.8 صفحه در دقیقه برسیم که این چیزی در حدود 75 درصد سرعت ادعایی HP است.
14	توي قيمت بهترين گوشي هست.
15	اما باید بگوییم که این دستگاه در مورد انجام وظایف خود بعنوان تبلت و لپ تاپ،  تقریبا در هیچ کدام کامل نیست و از هر یک شاید نیمی را با موفقیت پشت سر می‌گذارد.
