Keywords	Targets	Text	Value
[]	[]	از نظر ظاهری،  Ixus 240 HS شباهت زیادی با Ixus 510 HS دارد.	0
[]	[]	هرچند که گوشه‌های آن نسبت به 510 HS تیز نیست و حالت آجر مانند کمتری هم دارد.	0
[{'Position': ['58', '62'], 'Value': '+', 'Text': 'کمتر'}]	[{'Position': ['53', '57'], 'Value': '', 'Text': 'وزنی', 'RelationText': 'وزن', 'Opinions': [{'Position': ['58', '62'], 'Value': '+', 'Text': 'کمتر'}]}]	هرچند که ابعاد آن کمی بزرگ‌تر از Ixus 510 HS است ولی وزنی کمتر دارد.	+1
[{'Position': ['83', '97'], 'Value': '+', 'Text': 'بسیار استایلیش'}, {'Position': ['100', '104'], 'Value': '+', 'Text': 'زیبا'}]	[{'Position': ['4', '10'], 'Value': '', 'Text': 'دوربین', 'RelationText': 'دوربین', 'Opinions': [{'Position': ['83', '97'], 'Value': '+', 'Text': 'بسیار استایلیش'}, {'Position': ['100', '104'], 'Value': '+', 'Text': 'زیبا'}]}]	این دوربین با ابعادی کاملا مستطیلی شکل ساخته شده و همانند دیگر دوربین‌های سری Ixus بسیار استایلیش و زیبا می‌باشد.	+2
[{'Position': ['74', '78'], 'Value': '+', 'Text': 'بهره'}, {'Position': ['79', '85'], 'Value': '+', 'Text': 'می\u200cبرد'}]	[]	این دوربین از سنسور تصویر 16 مگا پیکسلی BSI-CMOS و پردازشگر تصویر DIGIC 5 بهره می‌برد.	+1
[]	[]	این در حالیست که 510 HS مجهز به سنسور 10 مگا پیکسلی بود.	0
[{'Position': ['41', '51'], 'Value': '+', 'Text': 'خیلی بهتری'}]	[]	سنسور BSI-CMOS در شرایط نوری ضعیف عملکرد خیلی بهتری را نسبت به سنسورهای CMOS معمولی ارائه می‌دهد.	+2
[{'Position': ['68', '74'], 'Value': '', 'Text': 'افزایش'}]	[{'Position': ['44', '57'], 'Value': '', 'Text': 'کیفیت عکس\u200cهای', 'RelationText': 'کیفیت عکس', 'Opinions': [{'Position': ['68', '74'], 'Value': '+', 'Text': 'افزایش'}]}]	بعلاوه به کمک پردازشگر تصویر DIGIC 5 باز هم کیفیت عکس‌های گرفته شده افزایش می‌یابد.	+1
[{'Position': ['0', '3'], 'Value': '', 'Text': 'اما'}]	[]	اما برخلاف لنز Ixus 510 HS که توانایی زوم 12 برابر را داشت،  لنز 24-120 میلی متر Ixus 240 HS توانایی زوم 5 برابر را دارد.	-1
[{'Position': ['42', '52'], 'Value': '+', 'Text': 'خیلی بهتری'}, {'Position': ['102', '115'], 'Value': '+', 'Text': 'خیلی بزرگ\u200cتری'}]	[{'Position': ['32', '41'], 'Value': '', 'Text': 'حالت واید', 'RelationText': 'حالت واید', 'Opinions': [{'Position': ['42', '52'], 'Value': '+', 'Text': 'خیلی بهتری'}]}, {'Position': ['92', '101'], 'Value': '', 'Text': 'میدان دید', 'RelationText': 'میدان دید', 'Opinions': [{'Position': ['102', '115'], 'Value': '+', 'Text': 'خیلی بزرگ\u200cتری'}]}]	این در حالیست که لنز این دوربین حالت واید خیلی بهتری را ارایه می‌دهد و در یک کادر می‌توانید میدان دید خیلی بزرگ‌تری را در یک عکس ثبت کنید.	+2
[{'Position': ['79', '90'], 'Value': '+', 'Text': 'بسیار سریعی'}, {'Position': ['146', '153'], 'Value': '', 'Text': 'بالاتری'}]	[{'Position': ['75', '78'], 'Value': '', 'Text': 'لنز', 'RelationText': 'لنز', 'Opinions': [{'Position': ['79', '90'], 'Value': '+', 'Text': 'بسیار سریعی'}]}]	همچنین کمینه‌ی نسبت کانونی آن نیز f/2.7-5.9 می‌باشد که دست کم در حالت واید لنز بسیار سریعی می‌باشد تا در شرایط نوری ضعیف بتوانید با سرعت‌های شاتر بالاتری عکاسی کنید.	+1
[]	[]	کمینه‌ی فاصله‌ی فوکوس آن نیز در مود ماکرو 3 سانتی متر می‌باشد.	0
[]	[{'Position': ['58', '63'], 'Value': '', 'Text': 'ضخامت', 'RelationText': 'ضخامت لنز', 'Opinions': [{'Position': ['67', '76'], 'Value': '', 'Text': 'کمی بیشتر'}]}]	با اینکه Ixus 240 HS لنز کوچک‌تری نسبت به 510 HS دارد ولی ضخامت آن کمی بیشتر است.	0
[]	[]	همانند دیگر دوربین‌های هم رده،  Ixus 240 HS هم دوربینی نشانه و عکس می‌باشد که اصولا در حالت اتوماتیک کار می‌کند.	0
[{'Position': ['128', '141'], 'Value': '+', 'Text': 'با کیفیت\u200cترین'}, {'Position': ['119', '125'], 'Value': '+', 'Text': 'بهترین'}]	[]	بدین صورت که کافی است دوربین را بر روی مود عکاسی Smart Auto قرار دهید و دکمه‌ی شاتر را بفشارید تا دوربین به طور خودکار بهترین و با کیفیت‌ترین عکس را تهیه کند.	+2
[{'Position': ['4', '14'], 'Value': '+', 'Text': 'خلاقانه تر'}]	[]	مود خلاقانه تر Program هم وجود دارد.	+1
[{'Position': ['43', '49'], 'Value': '+', 'Text': 'متنوعی'}, {'Position': ['30', '40'], 'Value': '+', 'Text': 'خیلی مختلف'}]	[{'Position': ['16', '22'], 'Value': '', 'Text': 'مودهای', 'RelationText': 'مودهای', 'Opinions': [{'Position': ['30', '40'], 'Value': '+', 'Text': 'خیلی مختلف'}]}]	علاوه بر این‌ها مودهای صحنه‌ی خیلی مختلف و متنوعی هم وجود دارند که می‌توانید از بین آن‌ها انتخاب کنید.	+2
[]	[]	درست همانند 510 HS این دوربین هم توانایی ضبط ویدیویی 1920X1080p Full HD با سرعت 24 فریم بر ثانیه با صدای استریو و فرمت AVI H.	0
[]	[]	264 را دارد.	0
[{'Position': ['100', '109'], 'Value': '', 'Text': 'خیلی بالا'}]	[]	با استفاده از پورت و کابل HDMI نیز می‌توانید دوربین را به تلویزیون‌های دیجیتال وصل کنید تا با کیفیت خیلی بالا تصاویر را شاهد باشید.	+2
[]	[]	انرژی این دوربین از طریق باتری قابل شارژ NB-11L تامین می‌شود که در هر بار شارژ کامل توانایی پشتیبانی تا 170 عکس را دارد.	0
[{'Position': ['28', '32'], 'Value': '', 'Text': 'بزرگ'}, {'Position': ['35', '39'], 'Value': '', 'Text': 'عریض'}]	[{'Position': ['20', '27'], 'Value': '', 'Text': 'نمایشگر', 'RelationText': 'نمایشگر', 'Opinions': [{'Position': ['28', '32'], 'Value': '', 'Text': 'بزرگ'}, {'Position': ['35', '39'], 'Value': '', 'Text': 'عریض'}]}]	Ixus 240 HS مجهز به نمایشگر بزرگ و عریض 3.2 اینچی لمسی 460,000 پیکسلی می‌باشد.	+1
[{'Position': ['14', '22'], 'Value': '+', 'Text': 'خیلی خوب'}]	[{'Position': ['0', '13'], 'Value': '', 'Text': 'کیفیت نمایشگر', 'RelationText': 'کیفیت نمایشگر', 'Opinions': [{'Position': ['14', '22'], 'Value': '+', 'Text': 'خیلی خوب'}]}]	کیفیت نمایشگر خیلی خوب است و به دلیل لمسی بودن،  باعث شده که بیشتر دکمه‌های فیزیکی از روی بدنه‌ی دوربین حذف شوند.	+2
[]	[]	بنابراین کنترل دوربین را باید از طریق لمس نمایشگر انجام دهید.	0
[{'Position': ['10', '13'], 'Value': '', 'Text': 'خاص'}]	[]	اما ویژگی خاص دیگر این دوربین،  دارا بودن رادیو Wi-Fi داخلی است.	+1
[{'Position': ['33', '38'], 'Value': '+', 'Text': 'راحتی'}, {'Position': ['20', '29'], 'Value': '+', 'Text': 'می\u200cتوانید'}]	[]	با استفاده از Wi-Fi می‌توانید به راحتی عکس‌ها و فیلم‌هایی که گرفته‌اید را به لپ تاپ،  گوشی،  تبلت و یا حتی دوربین دیگری که این قابلیت را دارد به صورت بی‌سیم منتقل کنید.	+1
[{'Position': ['146', '154'], 'Value': '+', 'Text': 'با کیفیت'}, {'Position': ['68', '76'], 'Value': '+', 'Text': 'استایلیش'}]	[]	در کل همان‌طور که گفتیم،  Ixus 240 HS هم دوربین دیگری از سری کوچک و استایلیش کانن است که همانند برادران خود برای کاربرانی که به دوربین‌های کوچک و با کیفیت برای عکاسی‌های روزانه احتیاج دارند ساخته شده است.	+1
[{'Position': ['24', '27'], 'Value': '+', 'Text': 'خوب'}, {'Position': ['30', '34'], 'Value': '+', 'Text': 'شاخص'}, {'Position': ['107', '113'], 'Value': '', 'Text': 'متمایز'}]	[{'Position': ['14', '23'], 'Value': '', 'Text': 'ویژگی\u200cهای', 'RelationText': 'ویژگی', 'Opinions': [{'Position': ['24', '27'], 'Value': '+', 'Text': 'خوب'}, {'Position': ['30', '34'], 'Value': '+', 'Text': 'شاخص'}]}]	این دوربین هم ویژگی‌های خوب و شاخص خود را ارائه می‌دهد که می‌تواند به نوعی آن را از دیگر دوربین‌های هم رده متمایز سازد.	+1
[]	[]	در آینده و با به بازار آمدن این دوربین سعی می‌کنیم آپدیت‌هایی را بر روی این نقد و بررسی اعمال کنیم.	0
[{'Position': ['62', '66'], 'Value': '+', 'Text': 'خوبی'}]	[{'Position': ['14', '27'], 'Value': '', 'Text': 'کیفیت عکس\u200cهای', 'RelationText': 'کیفیت عکس', 'Opinions': [{'Position': ['62', '66'], 'Value': '+', 'Text': 'خوبی'}]}]	به روز رسانی: کیفیت عکس‌های گرفته شده توسط Ixus 240 HS در سطح خوبی قرار دارد.	+1
[{'Position': ['38', '45'], 'Value': '+', 'Text': 'توانایی'}, {'Position': ['61', '65'], 'Value': '-', 'Text': 'بدون'}, {'Position': ['66', '70'], 'Value': '-', 'Text': 'نویز'}, {'Position': ['112', '123'], 'Value': '-', 'Text': 'مقداری نویز'}]	[]	در تست‌هایی که انجام دادیم این دوربین توانایی تولید عکس‌هایی بدون نویز در ایزوهای 100،  200 و 400 را داشت و فقط مقداری نویز و کاسته شدن از غلظت رنگ‌ها و مقدار جزئیات از ایزو 800 مشاهده می‌شود.	0
[{'Position': ['88', '93'], 'Value': '', 'Text': 'کاملا'}, {'Position': ['16', '22'], 'Value': '', 'Text': 'بیشتری'}, {'Position': ['23', '27'], 'Value': '-', 'Text': 'نویز'}, {'Position': ['70', '73'], 'Value': '', 'Text': 'ولی'}, {'Position': ['94', '106'], 'Value': '+', 'Text': 'قابل استفاده'}]	[]	ایزو 1600 مقدار بیشتری نویز و کاسته شدن از غلظت رنگ‌ها را نشان می‌دهد ولی عکس‌ها همچنان کاملا قابل استفاده هستند.	+1
[{'Position': ['38', '41'], 'Value': '-', 'Text': 'بدی'}, {'Position': ['42', '48'], 'Value': '-', 'Text': 'ندارند'}]	[]	حتی عکس‌ها در ایزو 3200 هم خیلی اوضاع بدی ندارند.	+1
[{'Position': ['14', '18'], 'Value': '+', 'Text': 'خوبی'}]	[]	این دوربین به خوبی از پس خطای رنگی بر می‌آید.	+1
